지역,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,
서대문구,6.7,6.8,6.8,6.8,6.7,6.5,6.5,6.3,6.3,6.3,6.4,6.3,6.2,6,6,6,6,5.9,6,6,5.9,5.9,5.7,5.4,5.4,5.3,5.3,5.3,5.3,5.3,5.2,5.1,4.9,4.8,4.8,4.7,4.5,4.6,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.1,4.1,4.1,4.1,
마포구,6.5,6.5,6.4,6.4,6.4,6.3,6.2,6.1,6,6,6,6,6,6,6,6,6,6,5.9,5.7,5.7,5.7,5.6,5.5,5.5,5.5,5.2,5.1,5.1,5.1,5.1,5.1,5.1,5,4.8,4.8,4.7,4.6,4.5,4.5,4.4,4.4,4.4,4.3,4.2,4.2,4.1,4.1,4,4,
양천구,6.7,6.5,6.5,6.5,6.5,6.5,6.6,6.6,6.7,6.6,6.7,6.6,6.3,6,5.9,5.8,5.8,6,6,6.4,6.3,6,5.8,5.6,5.4,5.3,5.2,5.2,5.1,5,5.1,5,4.9,4.8,4.8,4.8,4.6,4.4,4.4,4.3,4.3,4.3,4.3,4.2,4.1,4,4,4,3.9,3.8,
강서구,6.8,6.7,6.7,6.7,6.8,6.7,6.6,6.5,6.5,6.4,6.4,6.3,6.3,6,6,6,6,5.8,5.8,5.8,5.8,5.8,5.7,5.9,5.8,5.8,5.7,5.5,5.4,5.1,5.1,5,4.9,4.6,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,
구로구,6.5,6.6,6.6,6.7,6.6,6.5,6.5,6.1,6,6,6,6,6,5.9,6,5.8,5.8,5.8,5.7,5.9,5.7,5.6,5.6,5.5,5.5,5.3,5.3,5.3,5.3,5.3,5.3,5.1,5,4.9,4.8,4.7,4.6,4.6,4.6,4.5,4.5,4.5,4.5,4.3,4.4,4.4,4.4,4.4,4.4,4.3,
금천구,6.9,7,7.1,7,6.7,6.7,6.7,6.6,6.5,6.7,6.7,6.8,6.8,6.7,6.7,6.5,6.3,6,6,6,6,6,6,6,6,6,5.7,5.6,5.6,5.5,5.3,5.1,5.1,4.9,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.7,4.7,4.8,4.9,4.8,4.9,4.9,4.8,4.6,
영등포구,7.1,7,6.9,6.9,6.9,6.8,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.5,6.3,6.1,6.2,6,6,6,5.9,5.8,5.8,5.8,5.6,5.5,5.5,5.5,5.5,5.3,5.2,5.2,5.1,5,5,4.9,4.8,4.8,4.7,4.7,4.6,4.5,4.4,4.4,4.3,4.3,4.3,4.3,4.2,4.2,
동작구,6.6,6.7,6.8,6.7,6.6,6.7,6.5,6.2,6,6,5.8,5.7,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.4,5.2,5.1,5.1,5.1,5.1,5,5,4.9,4.9,4.8,4.8,4.7,4.5,4.6,4.5,4.5,4.5,4.5,4.5,4.4,4.3,4.3,4.2,4.1,4,3.9,3.9,3.9,4,
관악구,6.6,6.5,6.6,6.5,6.5,6.5,6.5,6.4,6.3,6.3,6.4,6.2,6,6,6,6,5.8,5.7,5.7,5.6,6,5.5,5.5,5.5,5.5,5.5,5.3,5.3,5.4,5.3,5.2,5.1,5.1,5.1,5,4.9,4.9,4.7,4.7,4.7,4.7,4.6,4.6,4.5,4.4,4.4,4.4,4.4,4.4,4.4,
서초구,6.3,6.2,6.2,6.2,6.1,6,6,6,6,6,5.9,5.8,5.7,5.6,5.5,5.5,5.5,5.5,5.5,5.4,5.4,5.3,5.2,5.1,5.1,5.1,5.1,5,4.9,4.9,4.8,4.7,4.7,4.7,4.6,4.5,4.5,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.1,4.1,4,
