지역,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,
서구,9,9.2,9,8.7,8.5,8.3,8.3,8.3,8.3,8.3,8.1,8.1,7.8,7.4,7.2,6.9,7,7,6.9,6.9,7,6.9,6.8,6.8,6.7,6.5,6.4,6.2,6,6,6,5.9,5.6,5.5,5.4,5.3,5.2,5.1,5,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.8,4.8,4.7,
광주,7.5,7.6,7.6,7.5,7.5,7.5,7.4,7.3,7.2,7.1,7.1,7.1,7.1,7.1,7,6.9,6.8,6.7,6.6,6.5,6.5,6.5,6.5,6.5,6.4,6.4,6.4,6.4,6.3,6.2,6.2,6.1,6,6,6,6,6,5.8,5.6,5.6,5.6,5.6,5.7,5.7,5.6,5.6,5.5,5.4,5.3,5.3,
서구,7.2,7.6,7.6,7.5,7.4,7.4,7.3,7.1,7.2,7,7.1,6.9,7.1,7.1,7,6.8,6.6,6.6,6.5,6.5,6.4,6.5,6.7,6.5,6.4,6.3,6.3,6,6,6,6,6,5.8,5.8,5.8,5.9,5.7,5.5,5.5,5.4,5.4,5.4,5.4,5.5,5.4,5.3,5.2,5.1,5.1,5,
남구,8.2,7.7,8,8,7.8,7.5,7.6,7.4,7.2,7,7.1,7.3,7,8.8,8.4,8.1,8.2,7.7,7.7,7.4,7.2,7.1,6.7,6.4,6,6.1,6.3,6.3,6,6,6.2,6,6,6,5.8,5.6,5.3,5.5,5.5,5.3,5.5,5.6,5.6,5.5,5.4,5.3,5.3,5.2,5.1,5.1,
북구,8,7.9,8,7.7,7.6,7.7,7.6,7.6,7.5,7.5,7.4,7.4,7.3,7.2,7,6.7,6.7,6.6,6.2,6,6,6,6.2,6.4,6.3,6.3,6.2,6,6,6,6,6,6,6,6,6,6,6,5.8,5.7,5.6,5.8,5.9,6,5.7,5.9,5.7,5.6,5.5,5.4,
광산구,7.2,7.3,7.2,7.1,7.1,7.1,7.1,7,6.8,6.7,6.7,6.7,6.9,6.8,6.9,6.8,6.8,6.9,6.7,6.9,6.9,7,6.7,6.8,6.6,6.5,6.5,6.5,6.4,6.2,6.3,6.2,6.1,6.2,6,6.1,6,6,6,5.9,5.8,6,5.9,6,5.9,5.8,5.7,5.6,5.4,5.6,
대전,7.1,7,7,6.9,6.9,6.9,6.9,6.7,6.7,6.7,6.6,6.5,6.5,6.3,6.2,6.2,6.2,6.3,6.3,6.4,6.4,6.5,6.4,6.3,6.3,6,6,6,6,6,6,6,5.7,5.7,5.6,5.6,5.5,5.4,5.3,5.3,5.3,5.3,5.2,5.1,5.1,5.2,5.1,5.1,5.1,5.1,
동구,7.8,7.7,7.7,7.7,7.7,7.9,7.7,7.6,7.5,7.3,7.2,6.9,6.7,7.1,7,7.2,7.4,7.2,7.1,7,7.1,7.2,6.9,6.8,6.9,6.5,6.6,6.4,6.7,6.7,6.6,6.6,6.3,6.1,6,6,6,6,5.9,6,6.3,6,6.1,6.4,6.6,6.4,6.6,6.4,6.5,6.6,
중구,7.3,7.2,8,7.6,7.6,7.6,7.5,7.2,7,7.2,7.2,7.1,7.2,6.9,6.8,6.7,6.8,6.9,7,7,6.9,6.9,7.2,7.2,7.2,7.5,7.4,6.9,6.7,6.7,6.5,6.4,6.4,6.2,6,6,6,6,6.1,6,6,5.7,5.8,5.6,5.6,6.3,5.6,6.1,5.6,5.7,
서구,6.9,6.7,6.6,6.5,6.5,6.5,6.5,6.5,6.4,6.4,6.3,6.3,6.2,6,6,6,6,6,6,6,6.2,6.2,6.1,6.1,6,6,6,5.8,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.3,5.3,5.3,5.2,5.2,5.3,5.2,5.1,5.1,5,5,5,4.9,4.8,4.8,
유성구,6.9,6.8,6.7,6.6,6.7,6.5,6.6,6.5,6.5,6.4,6.4,6.4,6.3,6.1,6.1,6.1,6.2,6,6,6,5.9,6,6,6,6,6,6,6,6,6,6,5.7,5.3,5.3,5.3,5.3,5.1,5,4.9,4.8,4.8,4.8,4.8,4.7,4.7,4.6,4.6,4.6,4.7,5,
대덕구,8.3,7.9,8,7.8,8,8,8,7.8,7.7,7.6,7.5,7.6,7.5,7.1,7,7,7.1,7,7.2,7.5,7.4,7.3,7.2,7,6.7,6.7,6.7,6.7,6.6,6.7,6.9,7.1,6.8,6.8,6.8,6.9,6.5,6.5,6.4,6.2,6.2,6.1,6,6,6,6.2,6.3,6.3,6.4,5.7,
울산,7.2,7.4,7.3,7.1,7,7.1,7.2,7.2,7.2,7.2,7.2,7.1,6.9,6.8,6.5,6.5,6.5,6.5,6.4,6.4,6.5,6.4,6.4,6.4,6.3,6.3,6.3,6,6,6,6,6,6,6,5.8,5.7,5.6,5.5,5.5,5.3,5.2,5.1,5,5,4.9,4.9,4.8,4.8,4.8,4.7,
중구,7.4,7.3,7.2,7.2,7.5,7.2,8,8,7.7,7.3,7.3,7.2,7,6.7,6.5,6.4,6,6.1,6.1,6,6.6,6.6,6.2,6.3,5.8,5.9,5.9,5.8,5.6,6,6,5.5,5.7,5.8,5.1,4.7,4.6,4.5,4.8,5.3,4.2,4.1,4,4.1,4,4.9,4.8,4.6,4,4.2,
남구,6.7,6.5,6.6,6.5,6.5,6.5,6.7,6.9,6.8,6.7,6.5,6.5,6.2,6.1,6,6,6.1,6,6,6,6,6,6,6,6,6,6,6,6,5.8,5.6,5.6,5.5,5.5,5.5,5.3,5.3,5.3,5.2,5.3,5,4.9,4.9,4.9,4.8,4.8,4.7,4.7,4.7,4.7,
동구,7.4,7.5,7.4,7.2,6.9,7.2,7,7.2,7.3,7.2,7.2,7.2,6.9,7,6.5,6.4,6.3,6,6,6,6,6,6,6,6,6,6,6,5.8,5.8,5.5,5.4,5.4,5.3,5.3,5.1,5.3,5.2,5.1,5,5,4.9,4.7,4.7,4.6,4.8,4.7,4.6,4.7,4.5,
북구,7.3,7.2,7.2,7.1,7,6.9,6.9,7,6.7,6.7,6.5,6.8,6.5,6.5,6.4,6.3,6.4,6.5,6.5,6.6,6.9,6.7,6.5,6.4,6.5,6.5,6.3,6,6,6,6,5.6,5.7,6,5.5,5.4,5.5,5.4,5.5,5.3,5.3,5.3,5.1,5.1,5.1,5,4.8,4.8,4.8,4.8,
울주군,8.7,9.2,8.7,8.6,8.6,8.7,8.6,8.2,8.6,8.3,8.1,8,8,8,8,8,8,8,7.5,7.2,7.4,7.2,7.2,7.4,7.5,7.5,7.7,7.5,7.1,7.2,7,6.9,6.7,6.7,6.6,6.5,6.1,6.1,6,6,6,6,6,5.6,5.5,5.6,5.7,6,6,5.7,
세종,8,8,7.8,7.6,7.2,7,7.2,7.1,7,7.2,7,6.8,6.4,6,6,6,6.1,6.5,6.4,6.4,6.4,6.3,6.2,6.3,6.1,6.2,6,6,5.8,5.3,5.3,5.2,5.1,5.1,5,4.9,4.8,4.8,4.9,5,6,5.8,5.3,5.6,5,4.7,4.1,4.1,4.1,4.2,
경기,7.7,7.6,7.5,7.4,7.4,7.3,7.3,7.2,7.2,7.1,7,6.9,6.8,6.6,6.5,6.4,6.4,6.3,6.3,6.3,6.3,6.2,6.1,6,6,5.9,5.7,5.7,5.6,5.5,5.5,5.4,5.3,5.2,5.1,5,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.6,4.6,4.6,
수원시,7.4,7.2,7.2,7.2,7,7,7,6.9,6.8,6.6,6.5,6.4,6.3,6.3,6.3,6.3,6.3,6.2,6.1,6,6,6,5.8,5.7,5.7,5.6,5.6,5.5,5.5,5.5,5.3,5.4,5.2,5.1,4.9,4.8,4.7,4.7,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.6,4.6,4.6,4.5,
장안구,7.2,7.1,7.2,7.2,7.1,7.1,7.2,7.1,7,6.9,6.5,6.5,6.4,6.3,6.2,6.3,6.4,6.3,6.3,6,6,6,6,5.7,5.8,5.7,5.7,5.6,5.5,5.4,5.3,5.2,5,5,5.1,5.1,5.2,5.1,5,4.9,5,4.9,4.8,4.9,4.8,4.8,4.7,4.8,4.9,4.8,
권선구,8,7.6,7.5,7.6,7.5,7.2,7.4,7.5,7.1,6.9,7.1,7,7,6.9,6.8,6.7,6.7,6.7,6.6,6.5,6.4,6.2,6.1,6.1,6,5.8,5.8,5.9,5.9,5.8,5.7,5.9,5.6,5.4,5.2,5,4.8,4.7,4.8,4.8,4.9,5,5,5,4.8,4.9,4.8,4.8,4.8,4.8,
팔달구,7.5,7.5,7.2,7.2,7.2,7.5,7.6,7.4,6.6,6.4,6.6,6.7,6.8,6.9,7,7,7,6.7,6.6,6.7,6.8,6.7,6.6,6.6,6.8,6.5,6.5,6.5,6.6,6.5,6.2,6,5.9,5.7,5.4,5.4,5.5,5.6,5.9,6,5.9,6,5.6,5.5,5.4,5.5,5.6,5.6,5.7,5.6,
영통구,7.3,7,6.9,6.9,6.7,6.7,6.6,6.5,6.5,6.3,6,5.8,5.7,5.7,5.7,5.8,5.8,5.7,5.7,5.5,5.4,5.4,5.3,5.2,5.2,5.2,5.2,5.1,5,5,4.9,4.9,4.8,4.7,4.6,4.4,4.3,4.4,4.4,4.4,4.4,4.5,4.4,4.3,4.3,4.3,4.2,4.2,4.2,4.1,
성남시,6.8,6.7,6.7,6.6,6.6,6.5,6.5,6.5,6.4,6.4,6.2,6,6,5.7,5.7,5.5,5.5,5.5,5.5,5.5,5.3,5.3,5.3,5.2,5.2,5.1,5,4.9,4.8,4.8,4.7,4.7,4.6,4.6,4.5,4.5,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.1,4.1,4,
수정구,7.7,8,8.6,8,8,8.4,8.4,8.4,8,8,7.6,7.6,7.1,6.7,6.9,6.5,6.5,6.7,6.7,7.2,7,7.1,6.7,6.5,6.6,6.3,6,6.2,6.3,6.4,6.4,6.3,6.2,6,5.7,5.8,5.4,5.3,5,4.9,4.9,4.8,5,4.8,4.6,4.6,4.5,4.4,4.2,4.1,
중원구,7.7,7.7,7.8,7.7,7.5,7.3,7.2,7.2,6.7,6.7,6.7,6.7,6.7,6.7,6.6,6.5,6.5,6.3,6.2,6.2,6.2,6,6,5.5,5.4,5.5,5.3,5.2,5.4,5.3,5.4,5.5,5.5,5.5,5.4,5,4.9,4.7,4.6,4.6,4.6,4.6,4.6,4.7,4.7,4.6,4.7,4.5,4.4,4.3,
분당구,6.6,6.5,6.4,6.3,6.3,6.2,6.2,6.2,6.2,6.2,6,6,5.7,5.6,5.5,5.4,5.3,5.3,5.3,5.3,5.2,5.1,5.1,5.1,5.1,5,4.9,4.8,4.8,4.7,4.6,4.6,4.5,4.4,4.4,4.4,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4,4,4,4,4,4,
의정부시,8,8,8,7.8,7.7,7.7,7.7,7.6,7.5,7.5,7.6,7.5,7.4,7.3,7.3,7.2,7.3,7.2,7.2,7.1,7.2,7.1,7,7,6.9,6.9,6.7,6.7,6.7,6.5,6.5,6.3,6.1,6,5.9,5.7,5.6,5.5,5.5,5.4,5.4,5.3,5.3,5.3,5.3,5.3,5.2,5.1,5.1,5.1,
안양시,6.7,6.7,6.7,6.6,6.5,6.5,6.5,6.4,6.3,6.1,6.1,6,6,5.8,5.7,5.7,5.6,5.6,5.6,5.5,5.5,5.5,5.5,5.4,5.3,5.3,5.2,5.1,5.1,5,5,4.9,4.8,4.7,4.6,4.5,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,
만안구,7,6.9,7,7.2,6.9,6.8,6.9,6.9,6.7,6.2,6.4,6.3,6.3,6,6.2,6.2,6,6.1,6.2,6,6,6,6,5.8,5.7,5.6,5.5,5.6,5.5,5.2,5.3,5.1,5.1,4.9,4.9,5,4.9,4.8,4.9,4.8,4.6,4.7,4.8,4.8,4.6,4.5,4.4,4.5,4.4,4.5,
동안구,6.7,6.7,6.6,6.5,6.5,6.4,6.4,6.3,6.2,6.1,6,6,6,5.7,5.6,5.6,5.5,5.5,5.5,5.5,5.5,5.4,5.4,5.3,5.2,5.2,5.1,5.1,5,5,4.9,4.9,4.8,4.7,4.5,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.1,
부천시,7.5,7.4,7.3,7.2,7.2,7.1,7.1,7,6.9,6.9,6.8,6.6,6.5,6.2,6.2,6.1,6.1,6,6,6.1,6.2,6.2,6.2,6.1,6,5.8,5.7,5.6,5.5,5.5,5.5,5.5,5.4,5.3,5.2,5,5,4.9,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.6,
원미구,7.2,7.1,7.1,6.9,6.9,6.8,6.8,6.8,6.7,6.6,6.5,6.3,6.1,6,6,5.8,5.8,5.8,5.8,5.9,5.9,6,5.9,5.8,5.7,5.5,5.5,5.4,5.3,5.3,5.3,5.2,5.1,5,4.8,4.8,4.8,4.6,4.6,4.6,4.6,4.6,-,-,-,-,-,-,-,-,
소사구,7.7,7.3,7.2,7.2,7.1,7.3,7.2,7.1,7.2,7.1,7.1,7,6.9,6.8,6.9,6.9,6.8,6.7,6.7,6.6,6.5,6.4,6.5,6.3,6,6,6,6,5.6,5.7,6,6,6,6,5.8,5.9,5.8,5.4,5.3,5.4,5.7,5.5,-,-,-,-,-,-,-,-,
오정구,10.5,10.7,10.5,10.4,10.1,9.8,10,9.8,10.1,10.1,10.1,9.8,9.5,9.3,9.4,9.3,9,9.1,9,9,9,9.6,9.1,9.4,9.3,9,8.9,8.7,8.7,8.7,8.6,8.6,8.7,8.8,8.2,8,7.7,7.5,7.7,7.3,7.6,7.1,-,-,-,-,-,-,-,-,
광명시,6.8,6.6,6.5,6.5,6.5,6.4,6.3,6.2,6.2,6,6,5.9,5.8,5.7,5.6,5.5,5.5,5.5,5.4,5.5,5.5,5.5,5.4,5.4,5.4,5.2,5.1,5.1,5,4.9,4.8,4.7,4.6,4.5,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.2,
평택시,8.3,8.1,8,8,8,8,8,8,8,7.9,7.8,7.7,7.7,7.7,7.5,7.4,7.4,7.3,7.3,7.4,7.3,7.3,7.1,7.2,7,6.8,6.8,6.8,6.7,6.6,6.6,6.5,6.5,6.5,6.5,6.4,6.4,6.3,6.3,6.1,6.2,6.1,6.2,6.1,6.2,6.2,6,6,6,6,
동두천시,9.8,10.3,10.1,10.4,10,9.7,9.6,9.5,9.4,9.3,9.1,9,8.8,8.8,8.8,8.9,8.7,8.4,8.3,8.1,8,8,7.8,7.6,7.5,7.5,7.3,7.2,7.2,7.2,7.1,6.7,6.7,6.5,6.5,6.1,6.1,6,6,6,6,6,6,6,5.9,6,6,5.8,5.6,5.7,
안산시,7.5,7.5,7.5,7.5,7.4,7.4,7.3,7.3,7.2,7.1,7.1,7,7,6.8,6.8,6.8,6.7,6.7,6.7,6.8,6.8,6.7,6.7,6.6,6.5,6.2,6,6,5.9,5.7,5.6,5.5,5.5,5.4,5.4,5.3,5.3,5.2,5.1,5.1,5.1,5,5,5,4.9,4.9,4.9,4.8,4.8,4.8,
상록구,7.4,7.4,7.5,7.5,7.4,7.3,7.2,7.2,7.2,7.2,7.1,7,7,6.9,6.8,6.9,6.7,6.5,6.5,6.6,6.8,6.7,6.7,6.5,6.5,6.3,6,5.8,5.9,5.9,5.7,5.5,5.4,5.3,5.2,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5,4.9,4.9,5,4.9,4.8,
단원구,7.6,7.6,7.6,7.5,7.4,7.4,7.3,7.3,7.2,7.1,7.1,7,7,6.8,6.7,6.7,6.7,6.7,6.7,6.8,6.8,6.7,6.6,6.6,6.5,6.2,6,6,5.9,5.6,5.6,5.5,5.6,5.5,5.6,5.3,5.4,5.3,5.2,5.1,5,5,5,5,4.9,4.9,4.9,4.8,4.8,4.7,
고양시,7.6,7.5,7.4,7.3,7.3,7.2,7.1,7.1,7,6.9,6.9,6.8,6.7,6.5,6.4,6.3,6.3,6.3,6.2,6.2,6.1,6,6,6,5.9,5.7,5.6,5.6,5.5,5.5,5.4,5.3,5.2,5.1,5,4.9,4.8,4.7,4.7,4.6,4.6,4.6,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.4,
덕양구,7.3,7.3,7.3,7.2,7.1,7.1,7.1,7,7,6.9,6.8,6.6,6.5,6.5,6.4,6.3,6.2,6.1,6.1,6,6,6,6,6,5.9,5.8,5.7,5.6,5.6,5.5,5.4,5.2,5.1,5,4.8,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,
일산동구,8,7.6,7.5,7.5,7.4,7.4,7.3,7.3,7.2,7.1,7,7,6.8,6.6,6.4,6.3,6.3,6.3,6.4,6.3,6.1,6,6,5.8,5.8,5.7,5.6,5.6,5.5,5.5,5.4,5.3,5.2,5.1,5,4.9,4.8,4.8,4.8,4.8,4.7,4.7,4.6,4.5,4.5,4.5,4.4,4.4,4.4,4.4,
일산서구,7.7,7.5,7.5,7.4,7.3,7.2,7.1,7.1,7,7,7,6.9,6.9,6.6,6.5,6.4,6.4,6.3,6.3,6.3,6.2,6.1,6,6,5.9,5.7,5.7,5.6,5.5,5.5,5.5,5.4,5.3,5.2,5.1,5,4.9,4.8,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.5,4.5,
과천시,6.8,6.5,6.7,6.7,6.6,6.7,6.5,6.5,6.4,6.5,6.3,6,6,6,6,5.9,5.9,6,5.8,5.4,5.5,5,4.8,4.8,4.7,4.6,4.9,4.9,4.8,4.8,4.7,4.7,4.7,4.8,4.8,4.7,4.4,4.4,4.3,4.4,4.4,4.4,4.4,4.3,4,3.8,4,3.9,3.7,3.8,
구리시,7.3,7.2,7.1,7.1,7.1,7,7,7,6.8,6.8,6.7,6.5,6.4,6,6,6,6,6,6,6,6,6,5.9,5.8,5.8,5.7,5.6,5.5,5.4,5.4,5.3,5.3,5.1,5,4.8,4.7,4.6,4.6,4.6,4.6,4.6,4.4,4.4,4.4,4.3,4.4,4.3,4.3,4.3,4.4,
남양주시,9.1,9,9,8.7,8.6,8.5,8.4,8.3,8.3,8.3,8,8,7.8,7.6,7.6,7.5,7.3,7.2,7.1,7.2,7.2,7.2,7.2,7.1,6.8,6.6,6.4,6.4,6.2,6.2,6.2,6,6,5.8,5.7,5.6,5.5,5.5,5.4,5.5,5.5,5.5,5.5,5.3,5.3,5.3,5.4,5.3,5.3,5.3,
오산시,7.7,7.7,7.6,7.6,7.5,7.7,7.7,7.7,7.7,7.4,7.4,7.1,6.9,6.8,6.8,8,7.9,7.9,7.4,7,6.8,6.8,6.6,6.6,6.6,6.5,6.5,6.5,6.3,6.4,6.5,6,6,6,6,6,6,6,6,6,6,5.8,6,5.8,5.7,5.7,5.7,5.7,5.7,5.7,
시흥시,8.2,8.1,8,8,8,8,8,8,8,7.8,7.6,7.5,7.4,7.3,7.3,7.1,7.1,7.1,7,6.9,6.9,6.8,6.8,6.8,6.7,6.6,6.5,6.5,6.4,6.3,6.3,6.3,6.1,6,5.9,5.9,5.8,5.6,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.4,5.3,5.3,5.3,5.2,
군포시,6.6,6.4,6.4,6.4,6.4,6.3,6.3,6.3,6.2,6.1,6,5.9,5.9,5.7,5.7,5.7,5.7,5.7,5.7,5.6,5.6,5.5,5.4,5.3,5.3,5.3,5.1,5.1,5,5,4.9,4.8,4.7,4.6,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,
의왕시,7,7,6.9,7.1,7,6.6,6.5,6.4,6.3,6.2,6.4,6.1,6,5.6,5.5,5.4,5.3,5.4,5.3,5.4,5.4,5.4,5.3,5.3,5.1,5,5,5,4.9,4.9,4.8,4.8,4.7,4.6,4.6,4.6,4.5,4.4,4.3,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.1,
하남시,7,6.9,6.9,7,6.9,6.9,6.8,6.9,6.9,6.8,6.8,6.5,6.5,6.3,6.3,6.2,6.1,6,6,6,6,5.9,5.7,5.7,5.5,5.3,5.3,5.4,5.4,5.3,5.2,5,4.8,4.7,4.7,4.6,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.6,4.5,
용인시,7.4,7.2,7.2,7.2,7.1,7,6.9,6.8,6.7,6.7,6.6,6.5,6.3,6,6,5.9,5.8,5.8,5.8,5.8,5.7,5.7,5.7,5.6,5.5,5.4,5.3,5.3,5.2,5.1,5.1,5,4.9,4.8,4.8,4.7,4.7,4.6,4.6,4.6,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,
처인구,9.3,9,9,8.9,8.7,8.6,8.6,8.6,8.4,8.3,8.2,8.1,8,8,8,8,8,8,7.8,8,8,8,8,8,7.7,7.7,7.4,7.3,7.2,7.2,7.1,7.1,7.1,6.9,7,7.1,7.1,7.1,6.5,6.7,6.5,6.3,6.5,6.2,6,6.3,6.4,6.2,6,6,
기흥구,7.5,7.4,7.3,7.2,7.1,7.1,7.1,6.9,6.9,6.9,6.7,6.7,6.5,6.3,6,6,6,6,5.9,5.9,5.8,5.8,5.7,5.7,5.7,5.6,5.4,5.3,5.2,5.2,5.1,5.1,5,4.9,4.9,4.8,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.5,
수지구,7.1,7,6.9,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.3,6.1,6,5.7,5.6,5.6,5.5,5.5,5.5,5.5,5.5,5.4,5.4,5.3,5.3,5.2,5.1,5.1,5,4.9,4.9,4.8,4.7,4.6,4.5,4.5,4.4,4.4,4.3,4.3,4.3,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,
파주시,8.6,8.5,8.4,8.3,8,7.9,7.8,7.8,7.8,7.7,7.5,7.3,7.3,7.1,7,7,6.9,6.9,6.8,6.7,7,6.9,6.7,6.7,6.4,6.2,6,6,6,6,6,5.8,5.8,5.6,5.5,5.3,5.2,5,5,5,5,4.9,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.7,
이천시,9.1,8.7,8.6,8.6,8.6,8.6,8.6,8.6,8.3,8.4,8.3,8.1,8.1,8.3,8.4,8.1,8,8,8,7.7,7.9,7.8,8.3,8.2,8.3,8.3,8,7.8,7.8,7.7,7.7,7.5,7.5,7.3,6.9,6.9,6.7,6.3,6.6,6.1,6.3,6,6,6,6,6.4,6.4,6.6,6.4,6.4,
안성시,8.8,8.6,8.6,8.7,8.8,8.8,8.8,8.8,8.7,8.5,8.4,8.4,8.4,8.3,8.3,8.1,7.8,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.6,7.6,7.6,7.6,7.6,7.4,7.4,7.2,7.2,7.2,7.1,7.2,7,7.2,7.1,7.2,7,7.2,7.1,7.2,7.1,7,6.9,7,7,7.1,
김포시,8.4,8.4,8.2,8,7.7,7.5,7.7,7.6,7.6,7.7,7.6,7.5,7.4,6.9,6.8,6.7,6.6,6.5,6.5,6.7,6.7,6.6,6.5,6.5,6.4,6.3,6,6,5.9,5.8,5.6,5.5,5.4,5.3,5.1,5,5,4.9,4.8,4.7,4.8,4.8,5.5,5.7,5.2,5,4.7,4.7,4.7,4.7,
화성시,7.2,7.1,6.9,6.7,6.7,6.6,6.5,6.5,6.5,6.6,6.6,6.5,6.3,6,6,6,6,6,6.1,6.2,6.1,6.1,6,6,5.9,5.7,5.6,5.6,5.6,5.4,5.4,5.3,5.1,5.1,5.1,5,5,4.9,4.9,4.9,4.9,4.9,4.9,5,5.1,5.2,5.2,5.1,5.1,4.9,
광주시,8.6,8.6,8.6,8.4,8.4,8.3,8.2,8,8,8.2,8,8,8,8,8,7.8,7.6,7.6,7.5,7.4,7.4,7.4,7.5,7.5,7.5,7.1,6.7,6.7,6.5,6.5,6.5,6.4,6,6,6,5.6,5.5,5.5,5.6,5.6,5.6,5.6,5.5,5.4,5.3,5.1,5,4.9,4.9,4.9,
양주시,9.6,9.6,9.6,9.6,9.3,9.2,9.2,9.3,9.1,9,9,9,9,8.7,8.6,8.4,8.3,8.3,8.3,8.3,8.2,8,8,7.8,7.7,7.7,7.5,7.5,7.3,7.2,7.1,6.9,6.7,6.5,6.5,6.3,6.3,6,6,5.8,5.8,5.8,6,6,5.8,5.8,5.6,5.6,5.5,5.5,
포천시,10.3,10.3,10.3,10.4,10.9,10.6,11,11,10.8,10.3,10.4,10.5,10.3,10.3,10.3,10.3,10.7,10.2,9.8,10,9.9,9.3,9,9.2,9.5,9.4,9.5,9.5,9.6,9.3,9.3,8.8,8.7,8.6,9.1,9.3,9.4,9,8.4,8.2,7.7,7.7,7.7,8.3,8.3,8.5,8.4,8.3,8,7.9,
강원,9.9,9.8,9.8,10,9.6,9.6,9.5,9.4,9.4,9.2,9.2,9.3,9.3,9,9.2,9.2,9.3,9.3,9,9,8.8,8.7,8.7,8.7,8.7,8.3,8.4,8.4,8.3,8.2,8.1,8,7.9,7.9,7.9,7.9,7.9,7.6,7.4,7.4,7.3,7.4,7.3,7.3,7.4,7.6,7.4,7.2,7.1,6.9,
춘천시,7.3,7.4,7.3,7.2,7.2,7.1,7.1,7.1,7,7.2,7.2,7.1,7.1,7.1,6.9,6.8,6.8,6.8,6.8,6.9,6.9,6.7,6.6,6.5,6.4,6.3,6.4,6.2,6.4,6.4,6.2,6.4,6.5,6.2,6.3,6.2,6.3,6,5.9,5.6,5.5,5.3,5.1,5.2,5.1,5,5,4.8,4.8,4.7,
원주시,9.8,9.8,9.8,10,9.8,9.6,9.5,9,9.1,8.7,8.7,8.7,8.7,8.7,8.6,8.3,8.3,8.3,8,8,8,8,8,8,8,8,8,8,7.7,7.6,7.6,7.9,7.5,7.4,7.4,7.4,7.2,6.9,6.8,6.7,6.7,6.7,6.7,6.9,6.9,6.9,6.9,6.9,6.6,6.3,
속초시,10.7,12,12,12,10.7,10.7,10.5,10.3,10.1,9.9,10.1,10.1,10,9.8,10.4,10.6,10.3,10.4,10.2,10.1,10,10,10.1,10.3,9.6,9.7,10.3,10.8,10.4,10,9.6,10,9.5,9.8,9.4,9,9.3,9.3,8.7,8,7.7,7.7,7.4,6.4,6.3,6.4,6.4,6,6,6,
충북,7.9,8.2,9.2,9.6,9.5,9.5,9,9,8.9,8.1,8.1,8.2,8.2,8.4,8.7,8.9,9.2,9.1,9.3,9.3,8.8,9,8.2,8,8,7.6,7.3,7.3,7.2,7.4,7.3,7,7.1,7.2,7,6.9,6.9,6.9,6.9,6.9,6.8,6.8,6.7,6.5,6,6,6,6,6,6,
