,location,location_detail,price
서울특별시,용산구,한남동,3533
서울특별시,용산구,동빙고동,4206
서울특별시,용산구,서빙고동,3260
서울특별시,용산구,주성동,4263
서울특별시,용산구,용산동6가,0
서울특별시,용산구,보광동,4223
서울특별시,성동구,상왕십리동,3251
서울특별시,성동구,하왕십리동,2974
서울특별시,성동구,홍익동,3429
서울특별시,성동구,도선동,3081
서울특별시,성동구,마장동,2500
서울특별시,성동구,사근동,2024
서울특별시,성동구,행당동,2669
서울특별시,성동구,응봉동,2298
서울특별시,성동구,금호동1가,2741
서울특별시,성동구,금호동2가,2797
서울특별시,성동구,금호동3가,2560
서울특별시,성동구,금호동4가,2820
서울특별시,성동구,옥수동,2675
서울특별시,성동구,성수동1가,3364
서울특별시,성동구,성수동2가,3274
서울특별시,성동구,송정동,2396
서울특별시,성동구,용답동,2667
서울특별시,광진구,중곡동,2085
서울특별시,광진구,능동,2400
서울특별시,광진구,구의동,2475
서울특별시,광진구,광장동,2703
서울특별시,광진구,자양동,2738
서울특별시,광진구,노유동,0
서울특별시,광진구,화양동,2986
서울특별시,광진구,모진동,0
서울특별시,광진구,군자동,2463
서울특별시,동대문구,신설동,2308
서울특별시,동대문구,용두동,2548
서울특별시,동대문구,제기동,2305
서울특별시,동대문구,전농동,2462
서울특별시,동대문구,답십리동,2676
서울특별시,동대문구,장안동,2391
서울특별시,동대문구,청량리동,2237
서울특별시,동대문구,회기동,2165
서울특별시,동대문구,휘경동,2063
서울특별시,동대문구,이문동,2281
서울특별시,중랑구,면목동,1860
서울특별시,중랑구,상봉동,2014
서울특별시,중랑구,중화동,1864
서울특별시,중랑구,묵동,1792
서울특별시,중랑구,망우동,1829
서울특별시,중랑구,신내동,1750
서울특별시,성북구,성북동,2270
서울특별시,성북구,성북동1가,2420
서울특별시,성북구,돈암동,2231
서울특별시,성북구,동소문동1가,2571
서울특별시,성북구,동소문동2가,2583
서울특별시,성북구,동소문동3가,3068
서울특별시,성북구,동소문동4가,2306
서울특별시,성북구,동소문동5가,3366
서울특별시,성북구,동소문동6가,2505
서울특별시,성북구,동소문동7가,2630
서울특별시,성북구,삼선동1가,2191
서울특별시,성북구,삼선동2가,2491
서울특별시,성북구,삼선동3가,2364
서울특별시,성북구,삼선동4가,2664
서울특별시,성북구,삼선동5가,2634
서울특별시,성북구,동선동1가,2826
서울특별시,성북구,동선동2가,2898
서울특별시,성북구,동선동3가,2677
서울특별시,성북구,동선동4가,2601
서울특별시,성북구,동선동5가,2366
서울특별시,성북구,안암동1가,2360
서울특별시,성북구,안암동2가,2370
서울특별시,성북구,안암동3가,2238
서울특별시,성북구,안암동4가,2721
서울특별시,성북구,안암동5가,2514
서울특별시,성북구,보문동4가,2849
서울특별시,성북구,보문동5가,2424
서울특별시,성북구,보문동6가,2151
서울특별시,성북구,보문동7가,2581
서울특별시,성북구,보문동1가,2662
