지역,2010년 동(호)수,2010년 면적,2011년 동(호)수,2011년 면적,2012년 동(호)수,2012년 면적,2013년 동(호)수,2013년 면적,2014년 동(호)수,2014년 면적,2015년 동(호)수,2015년 면적,2016년 동(호)수,2016년 면적
남구,9296,839,10625,1010,11197,1031,8604,782,12551,1118,14494,1314,3804,354
동구,3474,275,6450,529,4812,416,6538,552,5884,508,3796,308,2833,224
북구,8363,705,8938,778,4629,404,9935,860,9282,785,9442,801,2532,209
울주군,6031,537,7591,735,6930,639,7038,600,9967,971,11227,959,1910,175
세종,-,-,-,-,6204,690,8158,707,17004,1354,37627,3326,7459,539
세종시,-,-,-,-,6204,690,8158,707,17004,1354,37627,3326,7459,539
경기,234142,21268,263141,21719,210779,18196,262864,21660,319526,25879,418790,34325,112602,9005
수원시,21149,1818,28107,2359,23408,2063,29558,2438,35675,2825,37702,3187,8951,733
장안구,5111,444,6397,524,5491,462,9721,778,8239,701,8297,688,1818,142
권선구,4436,385,8133,687,6852,574,6025,469,10982,858,13549,1186,2654,230
팔달구,5368,456,4028,354,2568,212,3590,256,4974,358,5650,450,1575,113
영통구,6234,533,9549,795,8497,816,10222,935,11480,907,10206,862,2904,248
성남시,13272,1144,13165,1136,9217,789,14000,1240,17529,1574,22026,1988,7963,743
수정구,1987,165,2000,180,1826,165,2265,190,3232,290,5417,513,3759,352
중원구,4040,304,3435,247,3012,236,4661,414,3970,341,5586,442,1465,107
분당구,7245,675,7730,709,4379,387,7074,636,10327,943,11023,1033,2739,284
의정부시,4633,337,6515,469,5343,384,8314,543,10085,684,13951,1038,3446,236
안양시,8855,658,11203,786,9615,736,10831,781,14878,1065,19084,1443,4423,338
만안구,3900,301,4422,336,3184,255,4753,350,6227,443,7876,635,2058,173
동안구,4955,357,6781,450,6431,481,6078,432,8651,622,11208,808,2365,165
부천시,12787,879,18099,1204,12504,847,14962,1009,19858,1343,29297,2032,7156,455
원미구,5803,405,9083,628,6302,442,7834,547,10371,736,14716,1080,3116,218
소사구,3259,248,4727,334,3374,248,3762,276,4527,339,7188,551,1962,131
오정구,3725,226,4289,242,2828,158,3366,186,4960,269,7393,402,2078,106
광명시,9664,725,8165,560,3877,255,6150,413,7631,522,9488,654,2563,181
평택시,9025,765,12576,1065,9151,833,11083,885,12637,1055,18591,1561,6787,553
동두천시,2649,205,3006,226,2635,197,2690,170,2520,181,3405,241,795,58
안산시,10969,980,16795,1586,13098,1223,16185,1389,19851,1678,22699,1907,6714,546
상록구,6285,574,9582,941,7788,707,8732,780,10792,927,12171,1096,2570,220
단원구,4684,407,7213,645,5310,515,7453,610,9059,751,10528,811,4144,326
고양시,17077,1644,22139,2025,17283,2147,23936,2235,24623,2081,32994,2811,7579,616
덕양구,6234,499,6725,475,8751,676,10190,1006,11633,903,15041,1170,3469,265
일산동구,6370,759,8084,859,4508,475,5801,559,5775,566,7711,779,1671,157
일산서구,4473,387,7330,691,4024,995,7945,670,7215,611,10242,861,2439,194
과천시,468,37,491,42,575,49,661,53,836,69,1311,111,381,36
구리시,2041,151,2996,221,1909,147,2630,295,3252,248,5344,415,1396,102
남양주시,16138,1418,14291,1195,15761,1428,14831,1221,16974,1404,21691,1771,5391,433
오산시,6632,936,6777,547,3162,234,4959,385,5432,428,6088,463,1499,120
시흥시,7239,545,9199,674,6765,497,9047,650,11549,813,14638,1059,5337,373
군포시,5369,413,5905,395,4164,308,5484,395,8142,589,8668,622,1708,123
의왕시,2227,161,3147,223,3019,223,3049,246,3809,326,4460,331,955,73
하남시,1395,125,1940,183,1911,149,3041,208,5896,459,10647,888,5325,454
용인시,22067,2219,19276,1793,16489,1496,23815,2336,26882,2458,32339,3022,6725,597
처인구,3510,297,3671,276,4027,317,4359,349,5600,401,6316,473,1884,142
기흥구,8184,830,7898,776,5345,527,11338,1167,12284,1176,14730,1466,2930,265
수지구,10373,1091,7707,741,7117,652,8118,820,8998,881,11293,1083,1911,189
파주시,12292,1091,6240,546,7178,653,8599,730,8632,750,13815,1204,2948,242
이천시,5704,1335,5064,394,3940,309,3741,281,4705,375,5620,452,1742,146
안성시,5540,453,4923,360,3779,286,3355,274,3415,261,4655,385,3670,256
김포시,4137,387,9191,844,9509,812,12328,1071,13061,1238,13254,1154,3032,249
화성시,12913,1117,12744,1093,8500,687,11716,972,18234,1532,36977,3145,8227,705
광주시,5696,513,9213,794,6433,495,7686,578,9121,713,13334,1036,3222,247
양주시,4791,405,4029,317,3240,253,3163,248,4793,362,6032,460,1688,128
포천시,3691,268,2112,173,1874,152,2257,170,2644,217,3128,267,927,76
여주시,-,-,-,-,-,-,584,48,3111,268,2937,252,794,67
여주군,1469,138,2577,187,2564,177,1105,87,-,-,-,-,-,-
연천군,690,46,456,33,623,42,453,33,528,40,718,51,170,13
가평군,931,88,1011,105,1441,131,1028,101,1407,135,1572,142,424,37
양평군,2632,264,1789,181,1812,194,1623,172,1816,185,2325,232,664,69
강원,33030,2691,39134,3217,32660,2578,34264,2736,42416,3614,42673,3639,16847,1344
춘천시,7695,719,7846,745,5830,529,6432,584,8632,785,8814,842,4032,362
원주시,7740,651,10988,936,9522,766,8778,716,12651,1059,12269,1074,4309,363
강릉시,3861,332,5071,439,4041,341,4298,395,5498,584,5568,495,2453,196
동해시,1828,125,1756,124,1574,102,1824,134,2705,200,1915,143,601,45
태백시,1551,99,1372,88,1170,68,2531,118,1890,100,1122,68,357,22
속초시,2291,167,2564,184,2084,164,1828,136,2150,162,3272,249,2342,143
삼척시,1790,110,2083,130,938,67,942,64,1654,127,1760,126,370,25
홍천군,1019,90,1380,111,1305,94,1486,122,1282,113,1287,114,378,35
횡성군,687,60,912,84,828,63,759,65,754,68,911,86,270,23
영월군,666,52,751,54,896,67,780,57,654,51,641,48,220,17
평창군,917,64,1293,86,992,71,1124,86,1193,87,1380,99,575,44
정선군,643,45,579,40,693,47,760,54,857,59,727,50,206,13
철원군,557,45,581,53,568,49,512,41,540,44,498,39,167,13
화천군,230,19,247,16,215,15,226,20,330,24,279,19,66,5
양구군,288,19,259,17,171,14,308,25,215,16,617,49,70,5
인제군,304,24,464,39,278,25,326,28,375,30,387,34,105,8
고성군,348,27,421,28,426,27,305,23,421,32,492,41,136,10
양양군,615,41,567,42,1129,70,1045,68,615,72,734,62,190,15
충북,38595,3262,42402,3728,37432,3325,39131,3388,44459,3946,43439,3826,15624,1308
청주시,-,-,-,-,-,-,-,-,13723,1241,25296,2390,9063,786
상당구,-,-,-,-,-,-,-,-,2717,222,5022,474,2791,232
서원구,-,-,-,-,-,-,-,-,3882,344,5134,491,1722,157
흥덕구,-,-,-,-,-,-,-,-,3694,360,8032,792,1839,164
청원구,-,-,-,-,-,-,-,-,3430,314,7108,633,2711,234
(구)청주시,18046,1561,18866,1784,19254,1786,21217,1964,10334,1030,-,-,-,-
(구)상당구,5633,455,7102,641,7742,630,10400,911,4798,479,-,-,-,-
(구)흥덕구,12413,1106,11764,1143,11512,1156,10817,1053,5536,551,-,-,-,-
충주시,6083,473,5001,423,4883,436,4816,388,5889,482,5196,429,2928,227
제천시,3504,280,3267,271,2625,210,2566,203,3004,239,3517,276,912,76
(구)청원군,4868,472,6521,562,3385,308,3736,299,2087,165,-,-,-,-
보은군,384,31,452,40,442,38,491,45,478,38,569,51,137,12
옥천군,812,75,862,74,831,73,818,66,880,73,817,67,233,18
영동군,523,43,686,61,698,57,679,59,684,118,816,79,362,29
증평군,732,58,712,60,622,53,711,64,817,70,1016,88,272,23
진천군,1232,89,2422,179,1345,102,1287,84,1565,108,1949,129,754,58
괴산군,416,35,440,38,459,38,477,44,514,50,684,53,196,16
음성군,1476,102,2706,197,2432,191,1837,134,3844,284,3032,224,621,50
단양군,519,44,467,39,456,33,496,37,640,48,547,41,146,12
충남,52928,4410,66707,5561,56697,4451,52691,4426,67300,6153,67654,5615,21616,1730
천안시,19959,1651,24517,2168,19350,1575,19515,1455,24719,1897,25044,2060,7471,576
동남구,7549,609,10223,858,8734,702,7555,610,10659,779,8818,764,1809,150
서북구,12410,1042,14294,1310,10616,873,11960,845,14060,1118,16226,1295,5662,426
공주시,2404,190,3710,267,2452,178,2292,170,2007,165,1904,157,553,48
보령시,1374,114,1758,142,1255,107,1956,167,1594,130,2183,183,527,43
아산시,7915,630,14699,1117,12273,788,9115,1036,14465,2010,12939,1040,3859,318
서산시,3677,304,4205,350,3644,314,4662,359,5450,454,6390,560,3147,234
논산시,2660,213,1673,143,1516,122,2807,194,2386,188,2714,217,641,56
계룡시,1597,136,1402,125,1065,87,857,72,831,67,843,67,441,32
당진시,-,-,-,-,4383,415,4265,404,5130,453,6146,554,1167,119
금산군,799,61,864,60,691,54,811,67,1163,73,1535,118,340,27
연기군,2305,195,3402,273,2864,253,-,-,-,-,-,-,-,-
부여군,748,57,894,69,829,64,881,74,963,95,885,76,246,20
서천군,862,70,996,81,1020,87,973,78,1059,85,1062,89,327,27
청양군,230,18,249,23,394,29,298,24,471,33,353,30,136,11
홍성군,1402,126,1125,104,2172,170,2050,157,3747,272,2964,245,1738,136
예산군,1219,112,1608,133,1684,126,1503,103,1438,106,1426,116,404,32
태안군,682,58,1111,83,1105,80,706,65,1877,126,1266,103,619,52
당진군,5095,474,4494,422,-,-,-,-,-,-,-,-,-,-
전북,41675,3507,50266,4217,36971,3205,38854,3261,46497,4031,47483,4514,14440,1279
전주시,18229,1573,17898,1722,15231,1301,17104,1538,20319,1919,21164,2067,6483,600
완산구,10093,877,10680,1064,6173,608,8888,848,11588,1107,11188,1156,3207,323
덕진구,8136,696,7218,658,9058,693,8216,689,8731,812,9976,911,3276,277
군산시,8318,671,10984,892,5606,597,4977,410,7134,588,8811,718,2300,188
익산시,7773,558,9429,680,7398,585,7113,507,7632,631,7832,759,2202,200
정읍시,1640,120,3648,233,1468,120,1470,129,2821,217,1868,154,562,44
남원시,1071,91,1304,108,1691,145,1555,131,1618,130,1181,103,399,39
김제시,915,74,1047,92,911,79,1030,94,2318,159,1889,144,889,72
완주군,1639,136,3354,265,2283,184,2539,202,1463,125,1393,117,648,53
진안군,235,19,277,22,258,23,283,23,286,24,291,24,81,7
무주군,188,133,293,23,258,21,300,27,335,28,320,30,126,10
장수군,150,14,212,21,193,18,237,20,322,28,246,22,81,7
임실군,173,13,304,21,235,19,264,19,257,22,265,22,85,12
순창군,206,18,252,23,281,23,369,32,319,27,286,26,81,7
고창군,490,39,554,60,481,37,638,55,593,49,642,52,252,19
부안군,648,48,710,56,677,53,975,75,1080,84,1295,277,251,22
전남,36186,2831,43036,3435,36383,2941,36456,3024,39626,3423,49470,4180,13511,1121
목포시,7021,542,6537,544,5040,413,5386,459,6127,520,8118,671,2553,224
여수시,7274,548,8136,611,6012,465,6451,522,6527,512,5927,524,1683,153
순천시,6744,601,7742,690,7050,636,7075,604,6673,561,10322,832,2505,194
나주시,1116,84,1296,104,1405,103,1320,130,3711,297,7661,620,1268,99
광양시,5228,352,7575,536,5123,368,3902,299,4525,443,3611,275,1052,84
담양군,433,46,482,49,522,54,583,58,656,67,927,87,209,21
곡성군,268,23,324,31,254,23,297,26,352,28,392,32,113,10
구례군,366,26,484,32,579,46,347,28,555,42,478,42,138,13
고흥군,604,46,636,45,675,58,844,63,927,68,1089,79,357,26
보성군,430,36,939,68,469,45,567,48,541,126,604,56,192,24
화순군,1061,86,1845,143,1193,81,1124,82,1106,86,1931,148,400,26
장흥군,560,41,507,36,441,32,487,37,614,47,628,48,237,21
강진군,350,30,427,36,434,39,616,49,499,44,535,50,198,17
해남군,686,55,730,57,886,73,727,60,899,73,1283,100,297,25
영암군,449,42,651,65,1558,102,878,70,773,71,1416,201,707,48
무안군,970,75,2227,178,2087,178,3187,262,2305,196,1579,136,516,41
함평군,227,20,215,18,247,20,331,28,326,25,358,32,102,12
영광군,776,54,772,63,766,55,658,50,824,76,645,49,230,22
장성군,681,52,498,42,598,60,566,51,609,52,678,59,189,16
완도군,437,36,523,44,536,46,534,50,491,38,630,65,353,27
진도군,340,26,269,23,288,24,313,27,307,27,340,48,110,9
신안군,165,13,221,18,220,18,263,23,279,25,318,26,102,9
경북,54487,5049,71043,6542,59126,5439,68558,6350,78634,7556,94760,8774,25671,2298
포항시,12500,1195,18251,1701,15720,1410,18147,1618,18030,1632,18940,1798,5988,546
남구,5377,515,6492,608,6308,580,6510,601,5949,593,7002,755,3150,305
북구,7123,680,11759,1094,9412,830,11637,1018,12081,1038,11938,1044,2838,241
경주시,5848,553,6270,583,5737,564,5589,534,6052,561,8936,837,2664,237
김천시,1527,134,2789,206,2477,192,2878,240,3871,344,6052,533,1654,154
안동시,3119,298,3621,329,3386,313,3376,295,4851,416,4776,423,1337,112
구미시,11731,1176,17757,1703,10931,1080,15494,1458,15439,1729,19067,1889,4333,391
영주시,1567,135,1879,159,1825,156,1891,248,1818,167,1881,181,706,66
영천시,2265,138,1996,139,1865,139,2113,160,3214,249,3442,265,753,58
상주시,1445,133,1539,138,1478,145,2083,179,1762,171,2348,193,609,51
문경시,1116,88,1252,108,1123,104,1120,102,1822,171,1319,119,456,37
경산시,6657,622,7078,696,6657,636,6097,600,11657,1154,13725,1287,3153,290
군위군,206,18,259,20,242,22,306,26,354,31,343,32,98,9
의성군,443,39,540,51,552,45,588,54,632,56,893,76,250,20
청송군,239,20,336,26,287,24,270,20,332,26,340,27,86,7
영양군,172,12,221,15,208,15,212,16,219,16,223,16,99,7
영덕군,444,34,500,36,450,34,565,47,641,55,633,50,575,47
청도군,507,41,692,58,657,55,883,68,949,78,1014,90,292,26
고령군,559,38,628,48,504,37,516,42,490,41,597,51,152,11
성주군,366,36,423,43,485,55,779,97,550,73,741,77,154,17
칠곡군,2290,229,3135,328,2470,252,3897,404,3890,418,7019,614,766,89
예천군,382,33,592,54,567,48,555,50,470,48,857,79,1003,84
봉화군,386,29,480,40,370,30,416,33,482,38,535,45,169,13
울진군,623,42,671,50,1012,75,690,52,1015,77,1001,90,325,24
울릉군,95,7,134,10,123,8,93,6,94,6,78,5,49,3
경남,89918,8993,88755,7938,75269,6239,94553,7906,119263,10904,117188,10264,30781,2705
(구)창원시,5847,504,-,-,-,-,-,-,-,-,-,-,-,-
창원시,13403,1198,29611,2811,16968,1471,22755,1962,34174,2897,38093,3340,7515,678
의창구,2264,241,6972,754,3582,357,4824,476,9074,841,8793,851,1021,113
성산구,3868,315,7706,676,3745,287,5513,424,8019,654,6485,507,1116,101
마산합포구,2432,207,5083,471,2498,217,2940,250,4589,384,5779,468,1463,123
마산회원구,2366,208,4815,429,4046,348,4663,409,4836,422,7547,717,2349,198
진해구,2473,227,5035,480,3097,263,4815,404,7656,596,9489,797,1566,144
마산시,7059,633,-,-,-,-,-,-,-,-,-,-,-,-
진주시,8758,832,10827,948,6558,616,6432,602,13068,1156,12384,1097,3910,338
진해시,2514,221,-,-,-,-,-,-,-,-,-,-,-,-
통영시,4478,363,3181,270,2944,242,3479,289,4329,369,4855,407,1680,134
사천시,3082,241,3126,262,2348,186,2893,240,2703,222,3132,270,887,80
김해시,16062,2744,12407,1206,19374,1538,25908,2128,20217,1765,18328,1681,4156,378
밀양시,1395,126,2404,194,1795,149,1740,146,2588,220,2793,290,931,82
거제시,7805,619,9088,744,9458,763,9605,790,13096,1092,10370,861,3579,315
양산시,12773,967,9676,779,7275,562,14484,1098,18763,1477,17460,1462,4998,413
의령군,296,25,322,28,327,27,375,35,442,38,439,43,142,14
함안군,1354,105,1592,129,1818,149,1120,95,2682,211,1886,149,438,40
창녕군,844,69,1542,133,1151,109,896,112,1237,954,1627,151,314,29
고성군,714,57,1315,106,802,66,940,78,1370,108,1041,92,403,34
남해군,520,42,670,60,709,57,654,56,952,78,872,81,264,23
하동군,558,42,623,54,1159,86,639,48,620,52,642,50,194,18
산청군,423,38,364,37,389,39,465,43,496,45,800,79,169,17
함양군,554,45,595,54,703,59,575,51,581,50,598,51,174,14
거창군,853,76,882,85,916,75,978,83,1290,117,1088,99,859,84
합천군,626,45,530,41,575,45,615,51,655,54,780,64,168,12
제주,10520,848,12537,1027,12085,1012,13859,1214,15974,1376,19910,1733,7727,648
제주시,8638,692,10068,827,9608,814,10582,947,11857,1027,12359,1097,5056,424
서귀포시,1882,157,2469,200,2477,199,3277,267,4117,349,7551,636,2671,224
